worth every penny super,positive
hated it! bad,negative
worth every penny very good product,positive
nice good but very light wood,positive
terrific purchase ok,neutral
must buy! superb,positive
good quality product good,positive
terrific i like it this thing,positive
unsatisfactory very bad product quality,negative
worst experience ever! very cheap quality i am not happy,negative
terrific very nice,positive
really nice nice product,positive
expected a better product good not best its not a wood and not plastic not fiber artificial wood,negative
nice simply asum,neutral
very poor bad quality,negative
brilliant very very nice,positive
just wow! very good,positive
decent product good,positive
classy product good,positive
worth every penny good,positive
classy product very cute and nice product eye catching colours spreading positive vibes nice quality attractive monks highly recommend it to buy reasonable price,positive
terrific purchase these cute little monks stole my heart i bought them for christmas gifting and gifted myself very nice product at this price one can go ahead if looking for self or for gifting within budget extremely happy with the purchase,positive
highly recommended soo cute size is small but looking soo sooo soo cute im so happy thank u flipkart,positive
super! amazing quality of these showpieces sturdy and has neat finish they are so lovely and cutemy kids loved it,positive
awesome really so cute and adorable showpiece i bought it for my little princess and she is very much happy by getting this its a good quality and great colour finishing its so gorgeous and it boost up the glaze of that cornerhappy buying it,positive
classy product such a beautiful and elegant showpiece within reasonable price range like its material as well,positive
awesome super product im very happy for this beautiful showpiece delivery also very fast and packing was too gud tq flipkart,positive
awesome looks very good in quality its light weight and strong the colours are vibrant and my kids just loved this the face and hand shape are clearly defined,positive
worth every penny tooo cute dolls good finishing 100 happy no complains love to buy again,positive
wonderful good,positive
good quality product good experience,positive
super! very cute monks,positive
wonderful its an amazing product i brought it for 150 during great indian salesi cant stop making it as a prop for for my photos,positive
excellent worth every penny nse product good quality,positive
pretty good nice monk,positive
awesome very cute and tiny monkstheir quality is suberblooks so cute and attractivehave best value for money,positive
best in the market! nice product,positive
classy product the little monks are very cute its worth the product,positive
mind-blowing purchase super,positive
mind-blowing purchase very nice finishing is very good and looks stunning great piece of home decor,positive
mind-blowing purchase nice,positive
nice product very nice looking very cool im satisfied this product worth for money,positive
fabulous! superb quality just go for it,positive
very good awesome product love it,positive
just wow! 5 star cuteness,positive
perfect product! nice product i love it thanks flipkart,positive
wonderful soo cute and quality was goodi purchase 149 its very good dell,positive
decent product good,positive
fabulous! very cute and nice productgood to buy,positive
super! nice showpiece same as shown in image,positive
really nice good quality product at a very reasonable rate the baby buddhas are very cute,positive
simply awesome good product money with value,positive
just wow! cute little showpiece,positive
did not meet expectations very smalli return this productbut not excepted,negative
perfect product! thanks flipkart its tooooooo cute,positive
wonderful it was awesome n cutest,positive
nice product good one,positive
excellent nice product,positive
delightful product is good but packaging is very very poor,negative
classy product superb quality,positive
classy product very good,positive
highly recommended delivery boy is very good,positive
good quality product good product,positive
mind-blowing purchase these are so good and so cute this are the best must buy,positive
super! its nice but very small4 cm only,positive
excellent good,positive
awesome good one,positive
good quality product soo quite munks,positive
super! love it,positive
classy product goood,positive
fabulous! quality of pieces are very good size is not too small or nottoo big looks beautiful,positive
super! quality of showpiece is too good looks very classy color is also attractivereasonable rate,positive
fabulous! so cute,positive
good choice cute product,positive
fabulous! pretty,positive
wonderful best quality fresh product,positive
awesome super product,positive
wonderful its cute,positive
worth every penny cuteeego for it,positive
moderate too small,negative
value-for-money nice,positive
brilliant product is satisfactoryso good and happy,positive
nice very small size,neutral
must buy! good,positive
classy product good,positive
highly recommended super product,positive
super! this is very beautiful i love orange one,positive
worth every penny quality product at this price worth buying,positive
worth every penny nice,positive
super! superb,positive
wonderful good,positive
must buy! nice product,positive
really nice nice,positive
must buy! it is very nice product cute and lovely i got better than i expected,positive
super! i love this thank you flipkart,positive
awesome very cute,positive
worth every penny very cute,positive
nice product product is too good i loved it,positive
pretty good good,positive
terrific purchase as shown,positive
terrific purchase very cute,positive
hated it! small in size,neutral
super! literally very cute,positive
fabulous! good product,positive
worth every penny best,positive
wonderful sooo small and cute,neutral
pretty good nice,positive
excellent soo cute just go for it,positive
classy product very good,positive
terrific nice,positive
awesome super,positive
terrific superb,positive
terrific purchase nice product,positive
best in the market! good,positive
excellent wow wonderfully my kids very happy and our dad nice explain childrens this status showpieces always buy this product all plz thanks flipacrt servicess,positive
awesome really worth for money and quality is too good love this product,positive
mind-blowing purchase good product,positive
awesome very good,positive
worth every penny soo cute happy,positive
good choice better,positive
worth every penny awesome,positive
good choice nice,positive
classy product very beautiful,positive
worth the money good one,positive
classy product nice,positive
fair good product but so small,positive
worth every penny awesome product,positive
wonderful simply loved it,positive
nice product love this problem really happy,positive
brilliant nice quality nice packing delivery toooooooo good,positive
simply awesome nice product,positive
fair giving 3 star because of size its too small otherwise product is good,positive
wonderful the product is too good i liked it very much thanks,positive
just wow! it was very super product,positive
worth every penny its lovely my fav toosuperb quality,positive
terrific very nice,positive
best in the market! very nice and cute,positive
fabulous! soo cutee,positive
super! cute,positive
perfect product! i just loved it very cute and pretty show piece no doubt in quality its awesome,positive
just wow! super,positive
terrific nice product,positive
worth every penny cute,positive
